,stopwords
44,bupivacaine obat anestesi disuntikkan tulang berguna pasien mati merasakan sakit operasi caesar prosedur medis bupivacaine anestesi operasi gigi
45,bupropion dikonsumsi mengobati gangguan depresi berat gangguan mood musiman obat membantu orang berhenti merokok mengurangi kecanduan ketergantungan kebiasaan buruk
46,busulfan obat terapi leukemia myeloid akut kanker darah sumsum tulang obat dikombinasikan obat siklofosfamid tubuh menerima transplantasi sel punca donor sumsum tulang
47,calcitriol obat mengobati hiperparatiroidisme kondisi kelenjar paratiroid mengeluarkan hormon paratiroid normal obat mengobati gangguan metabolisme tulang orang menderita gagal ginjal kronis menerima pengobatan dialisiscalcitriol mengobati kondisi kekurangan kalsium penderita hipoparatirioidisme kondisi kelenjar paratiroid mengeluarkan hormon paratiroid normal akibat operasi kondisi
48,calcium acetate obat penderita gagal ginjal mengontrol kadar fosfat darah baca juga: penderita gagal ginjal berpuasa jawabannya!
49,kalsium mineral dibutuhkan tubuh pertumbuhan pemeliharaan gigi tulang kalsium dibutuhkan saraf jantung sistem pembekuan darah berfungsi baikkalsium diperoleh makanan susu keju tempe bayam brokoli kacang-kacangan ikan sarden saat-saat tubuh asupan kalsium pertumbuhan kanak-kanak wanita hamil menyusui dibutuhkan suplemen kalsium memenuhi kebutuhan tubuh baca juga: kebutuhan kalsium hamil
50,candesartan obat mengobati tekanan darah orang dewasa anak-anak berusia minimal 1 obat orang dewasa menderita tipe penyakit jantung mengurangi komplikasi serius kematian akibat kerusakan jantung
51,captopril obat mengatasi tekanan darah gagal jantung kongestif kegagalan jantung memompa darah dibutuhkan tubuh gangguan ginjal akibat diabetes meningkatkan harapan kualitas hidup penderita serangan jantung
52,carbamazepine obat terapi kejang nyeri saraf trigeminal neuralgia nyeri wajah menyiksa diabetik nefropati komplikasi ginjal akibat diabetes
53,carbimazole obat mengobati hipertiroidisme kondisi dimana kadar hormon tiroksin tubuh
54,carvedilol obat mengobati gagal jantung hipertensi obat pengobatan pasca serangan jantung diakibatkan ketidakmampuan organ memompa darah
55,caspofungin mengatasi infeksi fungi jamur lambung paru-paru esofagus tubuh
56,cefadroxil mengobati infeksi disebabkan bakteri contohnya infeksi kulit infeksi saluran nafas infeksi saluran kemih
57,cefazolin antibiotik mengobati jenis infeksi disebabkan bakteri infeksi parah mengancam nyawa obat membantu mencegah infeksi pasien menjalani operasi
58,cefepime antibiotik mengobati infeksi disebabkan bakteri infeksi parah mengancam nyawa
59,cefidinir antibiotik mengatasi jenis infeksi disebabkan bakteri
60,cefixime antibiotik mengobati infeksi disebabkan bakteri infeksi parah mengancam nyawa
61,cefoperazone antibiotik mengobati infeksi akibat bakteri tubuh berbeda
62,cefotaxime antibiotik mengobati infeksi infeksi mengancam jiwa cefotaxime mencegah infeksi pasien menjalani operasi
63,ceftazidime antibiotik mengobati infeksi bakteri infeksi mengancam jiwa
64,ceftriaxone antibiotik mengobati infeksi akibat bakteri infeksi mengancam nyawa meningitis peradangan selaput otak obat mencegah infeksi pasien menjalani dioperasi
65,cefuroxime antibiotik mengobati jenis infeksi akibat bakteri infeksi mengancam jiwa
66,celecoxib obat mengobati nyeri peradangan disebabkan kondisi arthritis radang sendi spondilitis ankilosa peradangan tulang kronis nyeri menstruasi
67,cefalexin obat mengobati infeksi disebabkan bakteri contoh infeksi bakteri diobati cefalexin infeksi saluran napas infeksi telinga infeksi kulit infeksi saluran kencing
68,cetirizine obat mengatasi gatal-gatal pembengkakan disebabkan hives alergi kulit kemerahan gatal-gatal
69,chlordiazepoxide mengobati gangguan kecemasan obat terapi cemas jangka pendek operasi mengatasi kecemasan ketergantungan alkohol
70,chlorpheniramine obat mengatasi hidung berair bersin-bersin gatal-gatal mata berair gejala-gejala disebabkan alergi pilek flu
71,chlorpromazine obat mengatasi gangguan psikis schizofrenia depresi episode manik gangguan perilaku berat anak usia 1 12 obat mengobati mual muntah mengatasi kecemasan operasi mengatasi cegukan kronis mengatasi porfiria akut berjeda mengatasi gejala tetanus
72,cholestyramine obat menurunkan kadar kolesterol darah ldl kolestrol jahat
73,ciclosporin obat menekan reaksi sistem imun tubuh imunosupresan
74,cilostazol obat mengobati gejala klaudikasio nyeri kram tungkai akibat kurangnya aliran darah otot hilang timbul obat memperbaiki kemampuan berjalan disertai nyeri
75,cimetidine obat mengobati mencegah tipe tukak luka lambung mengobati kondisi menyebabkan lambung memproduksi asam lambung obat mengobati penyakit gerd refluks asam lambung asam lambung kerongkongan menyebabkan terbakar kerongkongan
76,cinnarizine mengontrol mual muntah perjalanan mengatasi vertigo pusing berputar tinnitus telinga berdenging perasaan enak badan
77,dabigatran mengatasi penggumpalan darah mengurangi risiko stroke penderita gangguan ritme jantung
78,desloratadine obat mengobati gejala alergi bersin-bersin mata berair hidung berair obat mengobati bentol-bentol gatal-gatal kulit memiliki reaksi alergi kulit kronis
79,desoximetasone mengobati peradangan gatal-gatal disebabkan kondisi kulit reaksi alergi eksim psoriasis peradangan kulit disebabkan autoimun
80,dexamethasone golongan steroid mengobati kondisi alergi kondisi kulit radang usus peradangan sendi lupus psoriasis gangguan kulit akibat autoimun gangguan pernapasan
81,dexchlorpheniramine obat mengatasi alergi
82,dexketoprofen obat menghilangkan nyeri ringan
83,dextromethorphan mengobati batuk mengobati batuk disebabkan rokok asma emfisema kantung udara paru-paru hancur bertahap
84,dextrose glukosa mengobati kadar gula darah rendah hipoglikemia pasien menderita diabetes melitus glukosa bentuk suntikan mengobati syok insulin kadar gula darah rendah diakibatkan insulin disertai makan efek obat disuntikkan cepat menyebarkan glukosa kadar darah glukosa memenuhi kalori karbohidrat pasien makan sakit trauma menderita kondisi medis glukosa terkadang pasien sakit akibat meminum alkohol glukosa mengobati hiperkalemia kadar kalium darah
85,z
86,diclofenac mengobati nyeri ringan gejala peradangan tulang peradangan sendi
87,diethylcarbamazine mengobati infeksi disebabkan cacing filariasis infeksi disebabkan cacing filaria loiasis infeksi disebabkan cacing mata loa loa toxocariasis infeksi disebabkan larva cacing gelang toxocara canis
88,digoxin mengobati gagal jantung obat mengobati denyut jantung teratur cepat menyebabkan aliran darah lancar fibrilasi atrial
89,diltiazem mengobati hipertensi angina nyeri dada gangguan ritme jantung
90,dimenhydrinate mengobati mencegah mual muntah kepala berputar disebabkan mabuk perjalanan
91,dimethicone mengobati pedikulosis infestasi kutu kepala pelindung kulit
92,diphenhydramin mengobati bersin-bersin hidung berair mata berair bentol-bentol kulit kemerahan gejala pilek alergi obat mengobati mabuk perjalanan merangsang tidur mengobati gejala penyakit parkinson
93,disulfiram mengatasi kecanduan alkohol kronis efek samping ditimbulkan nyaman disulfiram bersamaan alkohol
94,dobutamine pengobatan jangka pendek gagal jantung diakibatkan melemahnya otot jantung
95,dha suplemen bayi prematur membantu perkembangan mentalnya dha mengobati diabetes tipe 2 penyakit koroner arteri kerusakan penyakit pembuluh darah jantung demensia pikun mengatasi adhd gangguan pemusatan perhatian hiperaktivitas orang suplemen dha membantu memperbaiki penglihatan mencegah gangguan mata disebabkan usia mencegah mengobati depresi mengurangi perilaku agresif lingkungan penuh tekanan dha dikombinasikan eicosapentaenoic acid epa mengobati kondisi penyakit mencegah gangguan jantung menstabilkan ritme jantung asma kanker nyeri menstruasi alergi akibat perubahan cuaca gangguan paru-paru lupus gangguan ginjal epa dha dikombinasikan pasien kondisi kolestrol tekanan darah psoriasis peradangan sendi gangguan bipolar peradangan saluran pencernaan mencegah migrain remaja
96,domperidone mengatasi mual muntah gangguan pergerakan usus
97,donepezil mengobati demensia parah disebabkan penyakit alzheimer
98,dopamine mengobati kondisi pasien syok disebabkan serangan jantung trauma operasi gagal jantung gagal ginjal kondisi medis serius
99,doripenem obat mengatasi infeksi serius perut kandung kemih ginjal
100,doxycycline antibiotik mengobati jenis infeksi disebabkan bakteri infeksi jerawat infeksi saluran kemih infeksi usus infeksi mata gonorrhea chlamydia gangguan gusi
101,duloxetine mengobati gangguan depresi mayor orang dewasa obat mengobati gangguan kecemasan orang dewasa anak-anak berusia minimal 7 tahunduloxetine orang dewasa mengobati fibromyalgia gangguan nyeri kronis nyeri sendi otot kronis nyeri punggung nyeri akibat peradangan tulangduloxetine mengobati nyeri disebabkan kerusakan saraf pasien diabetes dewasa diabetes neuropati
102,tekanan darah hipertensi salah penyakit 'silent killer' pembunuh diam-diam pasalnya penyakit seringkali sulit terdeteksi kondisi diobati hipertensi berisiko menimbulkan komplikasi kesehatan mengancam jiwasalah obat disarankan mengobati tekanan darah enalapril enalapril penderita hipertensi dewasa anak-anak usia minimal 1 bulanselain mengobati tekanan darah enalapril mengobati gagal jantung kongestif kegagalan jantung memompa pasokan darah dibutuhkan tubuh mengatasi gangguan ventrikel jantung
103,otot kaku nyaman ya aktivitas mengatasi permasalahan otot kaku cobalah obat jenis eperisone gengs!
104,ephedrine obat sesak napas mengurangi pernapasan gejala nafas pendek-pendek dada sesak bersin-bersin disebabkan asma bronkial
105,alergi dipicu faktor sengatan gigitan serangga makanan obat-obatan jenis alergen kegiatan olahraga gejala-gejala alergi timbul bentol-bentol gatal-gatal parah sesak napas penderitanya tergangguuntuk mengobati gejala alergi timbul penderita obat epinephrine solusinyaselain mengobati alergi epinephrine mengobati glaukoma sudut terbuka hipertensi bola mata
106,bronkitis kronis kesehatan kondisi disebabkan peradangan saluran bronkial saluran pernapasan membawa udara paru-paru mengalami bronkitis kronis seringkali gejala batuk membandel disertai lendir tebal berwarnameski kebanyakan bronkitis kronis sembuh mencegah kondisi buruk mengurangi gejala timbul penderita mengonsumsi jenis obat erdosteine endorsteine obat mengatasi perburukan penyakit bronkitis kronis
107,geng sehat mengalami migrain ya! yup migrain kondisi nyeri kepala berbeda sakit kepala nyeri timbul migrain salah sisi kepala orang menyebut migrain sakit kepala sebelah nyeri kepala migrain sisi kepala menyerang lehernyeri kepala timbul migrain parah mengganggu aktvitas sehari-hari ya mengatasinya mengonsumsi jenis obat ergotamine obat mengurangi nyeri timbul migrain
108,erythromycin antibiotik mencegah mengobati infeksi disebabkan bakteri
109,escitalopram mengobati depresi kecemasan
110,esomeprazole mengobati penyakit gerd naiknya asam lambung kerongkongan kondisi memicu asam lambung sindrom zollinger-ellison sindrom ditandai kemunculan tumor gastrinoma pankreas usus halus usus belas jariesomeprazole membantu penyembuhan penyakit esofagitis erosif peradangan disertai luka permukaan esofagus esomeprazole mencegah luka lambung disebabkan bakteri helicobacter pylori akibat pemberian obat golongan nsaid
111,ayo mengalami insomnia alias susah tidur salah memiliki permasalahan coba deh mengonsumsi obat estazolam estazolam obat mengatasi gejala insomnia kesulitan tidur tidur nyenyak
112,wanita mengalami menopause menopause kondisi penurunan produksi hormon reproduksi tubuh kondisi dialami wanita memasuki usia 40-50an penurunan hormon reproduksi terkadang disertai gejala nyaman hot flashes panas hebat disertai keringat detak jantung cepat perubahan vagina mengurangi ketidaknyamanan wanita mengalami menopause mengonsumsi obat estradiol mengurangi gejala timbul menopause estradiol mencegah osteoporosis wanita menopause
113,estrogen mengatasi gejala menopause wanita vagina kering hot flashes panas disertai keringat detak jantung cepat estrogen mencegah keropos tulang osteoporosis wanita estrogen mengatasi tipe kanker pria wanita kanker prostat kanker payudara menyebar tubuh wanita memproduksi hormon esterogen contohnya hipogonadisme kegagalan ovarium primer hilangnya fungsi normal ovarium berusia 40
114,ethambutol mengobati tuberculosis tb obat bersamaan minimal obat tb
115,etodolac mengatasi nyeri ringan osteoarthritis rheumatoid arthritis
116,etoricoxib mengurangi nyeri pembengkakan inflamasi sendi otot orang menderita osteoarthritis pengapuran sendi rheumatoid arthritis peradangan kronis sendi akibat autoimun ankylosing spondylitis peradangan tulang gout peradangan sendi akibat asam urat berlebih
117,saluran pencernaan luka lambung kondisi dialami aktivitas terganggu famotadine salah obat mengobati luka lambungobat gangguan penyakit lambung kondisi lambung memproduksi asam lambing penyakit sindrom zollinger-ellison famotidine mengobati gerd reflusk asam lambung yaotu kondisi asam lambung kerongkongan menyebabkan gejala terbakar dada
118,felodipine mengatasi tekanan darah hipertensi
119,kadar kolesterol tubuh meningkatkan risiko timbulnya kesehatan stroke penyakit jantung koroner konsumsi obat fenofibrate menurunkan kadar kolesterol trigliserida asam lemak tubuh
120,menjalani operasi kali tubuh merasakan nyeri tertahankan mengatasinya dokter menyarankan penggunaan obat fentanyl meredakan gejala dialami
121,ferrous fumarate obat suplemen mengobati anemia kekurangan sel darah merah akibat kekurangan zat besi tubuh
122,orang dewasa anak-anak perubahan musim musuh pasalnya perubahan musim mengalami alergi kulit gatal muncul bentol-bentol akibat urtikaria kronis salah orang mengalami permasalahan kali perubahan musim fexofenadine obatnya
123,fibrinogen mengatasi perdarahan orang menderita kekurangan fibrinogen lahir
124,pria kebotakan mengganggu merusak penampilan menghadapi cobalah finasteride mengatasinya obat finasteride mengatasi kebotakan pria obat mengatasi gejala benign prostatic hyperplasia pembesaran prostat jinak kondisi kelenjar prostat mengalami pembengkakan bersifat kanker obat pasien pria
125,fluconazole mengobati infeksi jamur menyerang tubuh mulut tenggorokan kerongkongan paru-paru kandung kemih area genital darah fluconazole mencegah infeksi jamur pasien memiliki sistem imun lemah akibat terapi kanker transplatansi sumsum tulang penderita penyakit aids
126,migrain dikenal masyarakat pusing kepala sebelah kesehatan migrain menyebabkan mengalami nyeri parah salah sisi kepala migrain menyerang sisi kepala dirasakan leher nyeri kepala migrain mengganggu menjalani aktivitas mengatasi gejalanya jenis obat flunarizin obat mencegah gangguan pembuluh darah tepi pembuluh darah otak menimbulkan nyeri kepalaselain flunarizin mencegah vertigo gangguan sistem vestibular sistem bertanggung orientasi tubuh ruangan duduk berdiri tidur
127,fluoxetine mengatasi gangguan depresi mayor bulimia gangguan makan gangguan obsesif kompulsif kelainan psikologis memengaruhi pikiran perilaku penderitanya serangan panik gangguan disforik pramenstruasi pms berat
128,kondisi kesehatan mental kesehatan fisik orang-orang mengalami gangguan mental skizofrenia perawatan pengobatan salah jenis obat perawatan pengidap gangguan mental psikotik fluphenazine
129,fluvoxamine mengobati gangguan kecemasan sosial social phobia gangguan obsesif-kompulsif disertai pemikiran perilaku berulang
130,fondaparinux obat mencegah pembekuan darah deep vein thrombosis dvt gumpalan darah terbentuk vena tubuh dvt memicu pembekuan darah paru-paru emboli paru dvt menjalani operasi
131,formaldehyde mengobati kutil mengganggu kutil tergolong tumor jinak disebabkan virus kebanyakan penyebab kutil human papilloma virus hpv virus menginfeksi lapisan kulit pertumbuhannya cepat mengobati kutil formaldehyde mengatasi bau kaki keringat berlebih kaki
132,fosinopril mengatasi tekanan darah hipertensi gagal jantung
133,furosemide mengatasi retensi cairan bengkak pasien menderita gagal jantung kongestif gangguan lever gangguan ginjal sindrom nefrotik ginjal bocor furosemide mengobati hipertensi
134,obat gabapentin orang dewasa mengobati nyeri neuropatik nyeri akibat kerusakan jaringan saraf disebabkan virus herpes shingles herpes zoster obat mengobati kejang pasien dewasa anak-anak usia minimal 3 gabapentin mengobati sindrom kaki gelisah kondisi ditandai dorongan tertahankan menggerakkan kaki malam
135,obat galantamine mengobati demensia disebabkan penyakit alzheimer
136,kadar kolesterol trigliserida darah berbahaya kesehatan orang penderita pankreatitis peradangan pankreas menjaga kadar kolesterol trigliserida salah menjaga kadar kolesterol trigliserida tubuh mengonsumsi obat gemfibrozil mengonsumsi obat dibarengi menerapkan pola makan sehat kolesterol trigliserida penderita pankreatitis teratasi obat gembifrozil menurunkan risiko stroke serangan jantung komplikasi penyakit jantung pasien memiliki kolestrol trigliserida diobati metode pengobatan
137,virus infeksi disebabkan bakteri penanganan infeksi bakteri berbeda penanganan infeksi virus salah obat menangani infeksi bakteri berat serius gentacimin
138,diabetes tipe 2 salah penyakit kronis dialami orang-orang usia gaya hidup sehat meningkatkan risiko penyakit usia muda penyakit diabetes tipe 2 hormon insulin tubuh optimal mengontrol kadar gula darah kondisi disembuhkan diabetes tipe 2 dikelola menimbulkan komplikasi penyakit salah obat membantu kondisi glibenclamide
139,diabetes tipe 2 salah penyakit kronis disebabkan kondisi insulin tubuh optimal 90-95% pasien diabetes didiagnosis diabetes tipe 2 penyakit menyerang usia dewasa usia 40 risiko terserang diabetes tipe 2 meningkat pola hidup dijalani sehat diabetes tipe 2 disembuhkan penyakit dikelola pengobatan salah jenis obat glimepiride
140,diabetes melitus tipe 2 jenis diabetes kondisi ditandai kadar gula darah batas normal penyebab diabetes melitus tipe 2 kondisi insulin tubuh optimal faktor pemicu mengalami diabetes melitus tipe 2 gaya hidup sehat jarang berolahrga konsumsi makanan bergizi kelebihan berat badan penyakit diabetes melitus kondisi disembuhkan memperbaiki gaya hidup konsumsi jenis obat kadar gula darah dikontrol kadar gula darah terkontrol komplikasi penyakit jantung stroke dihindari salah jenis obat pengobatan diabetes melitus tipe 2 gliquidone
141,glucagon mengobati hipoglikemia kadar gula darah rendah glucagon pemeriksaan radiologi x-ray membantu mendiagnosis penyakit lambung usus baca juga: otak kekurangan gula akibat hipoglikemia dampaknya!
142,glucosamine suplemen membantu mengatasi nyeri sendi pembengkakan kekakuan disebabkan penyakit arthritis peradangan sendi
143,glycerol obat meredakan gejala batuk konstipasi glycerol bentuk sediaan topikal kulit melembutkan melembapkan kulit glycerol bentuk tetes mata menurunkan tekanan bola mata pasien menderita glaukoma
144,glycopyrronium bromide obat mengatasi tukak luka lambung
145,granisetron obat mencegah mual muntah disebabkan pengobatan kanker pengobatan kanker kemoterapi radiasi
146,griseofulvin mengobati dermatofitosis penyakit jamur golongan dermatofita jaringan mengandung zat tanduk kuku rambut stratum korneum epidermis
147,pilek akibat infeksi reaksi alergi kali tubuh nyaman pasalnya pilek dada sesak sulit bernapas mengatasi cobalah obat guafenesin mengurangi sumbatan dada timbul akibat pilek infeksi alergi baca juga: batuk pilek hamil
